Abbreviation,Type,Variable,Units,Transformation,Alpha,Target_Good,Target_Bad,Materiality
PMD,Indicator,PM2.5 exposure,Age-standardized DALYs/100k people,log,,1%,99%,
HAD,Indicator,Household solid fuels,Age-standardized DALYs/100k people,log,,5%,99%,
OZD,Indicator,Ozone exposure,Age-standardized DALYs/100k people,log,,5%,99%,
UWD,Indicator,Unsafe drinking water,Age-standardized DALYs/100k people,log,,5%,95%,
USD,Indicator,Unsafe sanitation ,Age-standardized DALYs/100k people,log,,5%,95%,
PBD,Indicator,Lead Exposure,Age-standardized DALYs/100k people,log,,1%,99%,
MSW,Indicator,Controlled solid waste,proportion,none,,1,0,
TBN,Indicator,Terrestrial Biome Protection _ National weights,%,none,,17,0,
TBG,Indicator,Terrestrial Biome Protection _ Global weights,%,none,,17,0,
MPA,Indicator,Marine protected areas,%,none,,10,0,SEA
PAR,Indicator,Protected Areas Representativeness Index,unitless,none,,0.31,5%,
SHI,Indicator,Species Habitat Index,%,none,,100,1%,
SPI,Indicator,Species Protection Index,%,none,,100,0,
BHV,Indicator,Biodiversity Habitat Index,unitless,none,,1,0,
TCL,Indicator,Tree cover loss,proportion,log,9.70E-07,1.67E-05,99%,
GRL,Indicator,Grassland loss,proportion,log,4.45E-06,2.14E-05,99%,
WTL,Indicator,Wetland loss,proportion,log,2.47E-06,2.14E-05,99%,
FSS,Indicator,Fish Stock Status,proportion,log,1.13E-05,0,99%,SEA
RMS,Indicator,Marine Trophic Index,unitless,log,9.51E-07,0,99%,SEA
FGT,Indicator,Fish caught by Trawling,proportion,log,8.40E-08,0,99%,SEA
CDA,Indicator,Adjusted emission growth rate for carbon dioxide,proportion,none,,-0.0759,95%,
CHA,Indicator,Adjusted emission growth rate for methane,proportion,none,,-0.010711789,95%,
FGA,Indicator,Adjusted emission growth rate for F-gases,proportion,none,,-0.03943723,95%,
NDA,Indicator,Adjusted emission growth rate for nitrous oxide,proportion,none,,-0.01946605,95%,
BCA,Indicator,Adjusted emission growth rate for black carbon,proportion,none,,-0.018698537,95%,
GIB,Indicator,Greenhouse gas intensity growth rate,proportion,none,,5%,95%,
GHP,Indicator,Greenhouse gas emissions per capita,Gg CO2-eq./person,log,,5%,95%,
LCB,Indicator,Growth rate in carbon dioxide emissions from land cover,proportion,none,,5%,95%,
SDA,Indicator,Adjusted emission growth rate for sulfer dioxide,unitless,none,,-0.03943723,95%,
NXA,Indicator,Adjusted emission growth rate for nitrous oxides,unitless,none,,-0.03943723,95%,
SNM,Indicator,Sustainable Nitrogen Management Index,unitless,none,,0,99%,
WWT,Indicator,Wastewater treatment,proportion,none,,1,0,
URP,Factor,"Urbanization, percent of population",%,none,,,,
CCO,Factor,Control of Corruption,unitless,none,,,,
EBI,Factor,Ease of Doing Business Index,unitless,none,,,,
EXG,Factor,"Exports, value added to GDP",%,log,,,,
GOE,Factor,Government Effectiveness,unitless,none,,,,
IEF,Factor,Index of Economic Freedom,unitless,none,,,,
LFE,Factor,Life expectancy,years,none,,,,
MAG,Factor,"Manufacturing, value added to GDP",%,log,,,,
PGR,Factor,Population growth rate,%,none,,,,
ROL,Factor,Rule of Law,unitless,none,,,,
RQU,Factor,Regulatory Quality,unitless,none,,,,
SAV,Factor,Political Stability and the Absence of Violence,unitless,none,,,,
SEG,Factor,"Services, value added to GDP",%,none,,,,
VOA,Factor,Voice and Accountability,unitless,none,,,,
NOX,Precursor,NOx,ktNO2,,,,,
SO2,Precursor,SO2,ktSO2,,,,,
AMP,Precursor,Area of MPAs,km^2,,,,,
TPA,Precursor,Terrestrial protected areas,km^2,,,,,
TEW,Precursor,Terrestrial Ecoregions of the World,km^2,,,,,
CDO,Precursor,CO2 from non-LULC,Gg,,,,,
CDL,Precursor,CO2 from LULC,Gg,,,,,
GHG,Precursor,Greenhouse gas emissions,Gg CO2-eq.,,,,,
GHI,Precursor,Greenhouse gas emission intensity,Gg / $,,,,,
BLC,Precursor,Black Carbon,ktC,,,,,
CDT,Precursor,CO2 Total,Gg,,,,,
CH4,Precursor,Methane,Gg,,,,,
FOG,Precursor,F-gasses,Gg CO2-eq.,,,,,
NOT,Precursor,N2O,Gg,,,,,
EEZ,Precursor,Area of EEZs,km^2,,,,,
TC5,Precursor,"Tree cover loss, 5-year",ha,,,,,
TCA,Precursor,Tree cover area,ha,,,,,
TCC,Precursor,"Tree cover loss, annual",ha,,,,,
CXN,Precursor,Connection to wastewater treatment facilities,proportion,,,,,
WST,Precursor,Wastewater treatment rate,proportion,,,,,
GL5,Precursor,"Grassland area, gross loss",km^2,,,,,
GRA,Precursor,Grassland area,km^2,,,,,
WL5,Precursor,"Wetland area, gross loss",km^2,,,,,
WTA,Precursor,Wetland area,km^2,,,,,
GDP,Auxiliary,GDP,US$2011,,,,,
GPC,Auxiliary,GDP per capita,US$2011/person,,,,,
POP,Auxiliary,Population,people,,,,,
LDA,Auxiliary,Land area (sq. km),km^2,,,,,
